Nom_collectivite,Nom_du_projet,SIRET,Latitude,Longitude,Type_de_collectivite,Date_de_demarrage,Statut_du_projet,Partenaires,Description_service,Theme,Sous_Theme,Audience,URL_Service,URL_Logo,Date_de_derniere_mise_a_jour
Etablissement Public Territorial Paris Est Marne et Bois,AMELIA,20005794100037,48.8131638,2.5126281,EPT,01/2023,En expérimentation,BRUITPARIF-IFPEN-Université G.Eiffel,"Ce projet vise à utiliser l’IA pour mieux suivre et réduire la pollution de l’air et le bruit. La mobilité est ici le levier d’action principal pour élaborer, réaliser et suivre des actions de réduction de ces nuisances. Le projet développe des outils de cartographie des mobilités et de l’environnement, peu coûteux en termes de calcul et de stockage, pour aider à la planification territoriale",Transition écologique et énergétique,"Qualité de l’air et nuisances sonores, Construction et aménagement","Agent, Aménageurs",https://www.bruitparif.fr/le-projet-amelia-demarrage-prochainement/,https://upload.wikimedia.org/wikipedia/fr/thumb/1/19/Logo_Paris_Est_Marne_Bois.svg/400px-Logo_Paris_Est_Marne_Bois.svg.png,16/04/2025
Syndicat de gestion des eaux du brivadois,Mission 90+,25430088200019,45.3003488,3.3994875,EPT,01/2023,En expérimentation,Leakmited,Ce projet vise à améliorer et généraliser la détection de fuites sur le réseau d’eau potable par prélèvements sonores et à améliorer la maintenance prédictive. L’expérimentation prend place sur un territoire impacté par le changement climatique et représentatif des enjeux nationaux. La solution permet ainsi d’éviter les pertes d'eau significatives et contribue à une gestion plus durable et écoresponsable des ressources hydriques.,Transition écologique et énergétique,"Gestion de l’eau, Prévention et gestion des risques","Agent, Aménageurs",https://www.leakmited.com/#leakmited-solutions,https://veille-eau.com/img/logos/logo-syndicat-de-gestion-des-eaux-du-brivadois-sgeb-xs.jpg,16/04/2025
Toulouse Métropole,IADATA lutte contre le gaspillage alimentaire,24310051800170,43.5999980,1.4333300,Métropole,09/2021,Terminé,développé en régie,"ce cas d'usage a pour but d'ajuster la production de la cuisine centrale au plus juste du nombre d'enfants présents dans les cantines, afin de limiter la surproduction et donc le gaspillage alimentaire. Cela permet aussi d'éviter l'envoie de réassort en cas de prévision inférieure aux présences réelles. ",Transition écologique et énergétique,Plateforme de données,"Collectivités, Agent",https://youtu.be/JC3Gvp_qaSU,https://upload.wikimedia.org/wikipedia/fr/thumb/d/da/Logo_Toulouse_M%C3%A9tropole.svg/600px-Logo_Toulouse_M%C3%A9tropole.svg.png?20210110134413,16/04/2025
Toulouse Métropole,IADATA catégorisation des délibérations ou des participations citoyennes,24410051800170,43.5999980,1.4333400,Métropole,09/2024,Terminé,développé en régie,"Ce cas d'usage a pour but de catégoriser les délibérations des collectivités (ville de Toulouse et Toulouse Métropole) selon certaines thématiques, dont la participation citoyenne ou la transition écologique. Cela permet aussi de catégoriser les commentaires des citoyens dans le cadre du budget participatif",Administration et organisation interne,Participation citoyenne,"Collectivités, Élu, Agent",accès interne uniquement,https://upload.wikimedia.org/wikipedia/fr/thumb/d/da/Logo_Toulouse_M%C3%A9tropole.svg/600px-Logo_Toulouse_M%C3%A9tropole.svg.png?20210110134414,16/04/2025
Toulouse Métropole,"IADATA, calcul des ilots de chaleur urbains",24510051800170,43.5999980,1.4333500,Métropole,11/2019,Terminé,développé en régie,Ce cas d'usage permet de calculer les ilots de chaleur urbains en temps réel à partir des données issues de stations météo de la collectivité transmettant leurs données via Lorawan tous les 1/4 d'heures. profondeur de calcul : juin 2019,Transition écologique et énergétique,Plateforme de données,"Agent, Élu, Collectivités, Grand public",https://opendatafrance.gitbook.io/dataimpact-usages-des-donnees-environnementales/livret-data-impact,https://upload.wikimedia.org/wikipedia/fr/thumb/d/da/Logo_Toulouse_M%C3%A9tropole.svg/600px-Logo_Toulouse_M%C3%A9tropole.svg.png?20210110134415,16/04/2025
Toulouse Métropole,"IADATA, lutte contre les confits d'intérêts",24610051800170,43.5999980,1.4333600,Métropole,03/2024,Terminé,développé en régie,"ce cas d'usage permet par l'analyse textuelle de détecter les potentiels conflits d'intérêts entre les déclarations d'intérêt des élus et les projets de délibération. En cas de conflit d'intérêt validé par l'élu sur une liste proposée et pré analysée par le service des assemblées, l'élu se déporte avec l'aide du service des assemblées",Administration et organisation interne,Gestion des assemblées,"Élu, Agent",accès interne uniquement,https://upload.wikimedia.org/wikipedia/fr/thumb/d/da/Logo_Toulouse_M%C3%A9tropole.svg/600px-Logo_Toulouse_M%C3%A9tropole.svg.png?20210110134416,16/04/2025
Nantes Métropole,VIAIre - Inventaire et gestion des données patrimoniales de l’espace public,24440040400129,47.2172500,-1.5533600,Métropole,06/2024,En déploiement,,Prestations d’acquisition des données patrimoniales viaires et de mises à jour du système d’information géographique sur le territoire de Nantes Métropole,Administration et organisation interne,"Construction et aménagement, Modélisation et jumeau numérique",Agent,accès interne uniquement,https://bo.citeo.com/sites/default/files/styles/header_template/public/2021-09/010_NM_logo_NOIR_RVB.png?itok=MwpoZisX,16/04/2025
Ville de Paris,Expérimentation IA avec le relevé de dégradations pour la GMAO de voirie,21750001600019,48.8566140,2.3333330,Département,05/2024,En expérimentation,"CEREMA, Immergis","Disposer d’un relevé de dégradations objectif de l’ensemble des dégradations sur chaussée (1600 km de chaussées)
Notation des chaussées en fonction de leur degré de dégradation et aide à la décision pour la programmation de travaux pluri-annuelle
",Mobilités,Logistique urbaine,Grand public,,https://upload.wikimedia.org/wikipedia/fr/thumb/f/fd/Ville_de_Paris_logo_2019.svg/1200px-Ville_de_Paris_logo_2019.svg.png,16/04/2025
CA SICOVAL,"Expérimentation IA 
pour la détection 
des fuites d'eau ",24310063300391,43.5436822,1.5055132,EPCI,05/2024,En déploiement,Leakmited,"identifier les  20 à 30 % du réseau qui concentrent 80 % du potentiel de fuites à travers l'application 
d'algorythmes entraînés sur 1  millions de fuites d'eau sur notre SIG (historique des fuites et caractéritiques du réseau). 
Aide à la décision sur la programmation des travaux et efficience des interventions ciblées.",Transition écologique et énergétique,Gestion de l’eau,Collectivités,https://www.leakmited.com/,https://upload.wikimedia.org/wikipedia/commons/7/72/Logo_Sicoval.png,16/04/2025
CA SICOVAL,"Expérimentation
assistance rédactionnelle",24310063300391,43.5436822,1.5055132,EPCI,10/2024,En expérimentation,Délibia,"Accompagner la rédaction adminstrative des agents du Sicoval et de ses 36 communes membres 
(300 personnes en cours d'expé)
Une meilleure performance et qualité dans le rendu des écrits, un gain de temps dans la recherche d'informations,
sensibiliser à la pratique de l'IA avec des outils souverains et éthiques.",Administration et organisation interne,Aide à la rédaction et gestion documentaire,Agent,https://delibia.fr/,https://upload.wikimedia.org/wikipedia/commons/7/72/Logo_Sicoval.png,16/04/2025
"CA DE BETHUNE-BRUAY, ARTOIS LYS ROMANE",Expérimentation d’une solution d’analyse et de gestion des routes par intelligence artificielle,20007246000013,50.5162818,2.6267038,EPCI,02/2025,En expérimentation,/,"Il s’agit d’analyser l’état des routes grâce à un smartphone qui prend automatiquement une photo tous les 4 mètres. Les images sont récoltées et analysées afin de détecter les dommages. Cela permet de réaliser une évaluation de l’état des routes (comprenant aussi les panneaux de signalisation, plaques d’égouts et avaloirs) et de planifier les interventions tout en optimisant la programmation et les opérations d’entretiens grâce à des évaluations budgétaires.",Administration et organisation interne,"Construction et aménagement, Outillage système d’information","Agent, Élu",https://www.vialytics.fr/,https://upload.wikimedia.org/wikipedia/fr/thumb/1/16/CA_B%C3%A9thune-Bruay%2C_Artois-Lys_Romane_logo_2017.svg/700px-CA_B%C3%A9thune-Bruay%2C_Artois-Lys_Romane_logo_2017.svg.png,16/04/2025
Métropole de Lyon,IMMERSION IA,20004697700019,45.7580929,4.8544000,Métropole,04/2024,En déploiement,"Université de Lyon, Datactivist, Tuba ","Dans un contexte de forte accélération technique, politique, médiatique de l’Intelligence artificielle, ce kit ouvert propose une expérience apprenante pour les acteurs d’intérêt généraux afin de plonger dans la complexité et l’ambivalence de ce sujet évolutif, incertain et à fort potentiel de transformation. 
Destinée à des groupes de 10 à 100 personnes, l'expérience vise à sensibiliser, développer des compétences pratiques et stratégiques de base, mais aussi une culture collective indispensable aux expérimentations.
Accessible et utilisable par toutes les organisations dans le cadre de la licence CCBySa",Gouvernance et socles technologiques,"Gestion des ressources humaines, Gouvernance et stratégie numérique responsable","Agent, Élu, Collectivités",https://erasme.notion.site/Kit-p-dagogique-IMMERSION-IA-cfc1d38fed704c4caebd66272b8d4d78?pvs=74,https://www.grandlyon.com/typo3conf/ext/gl_metropole_template/Resources/Public/Images/Content/logo-grand-lyon-la-metropole.svg,16/04/2025
Métropole de Lyon,PRECI : prévention automatisée des conflits d'intérêt,20004697700019,45.7580929,4.8544000,Métropole,04/2024,Terminé,Exo-Dev,"Les objectifs du projet sont les suivants : 
Tester la possibilité d’automatiser des parties du processus de détection des risques de conflits d’intérêts :
- Identification des structures désignées au sein des délibérations 
- Matching avec le tableau des élus et structures associées 
- Création automatisée de mail à l’attention des élus
- Génération d’un document récapitulatif des situations potentielles de conflits d’intérêts par séance avec l’explication du conflit
Étudier l’impact de cette automatisation sur les processus, les agents, la direction adjointe :  impacts organisationnels, RH
Étudier la faisabilité pour le déploiement de l’outil : impacts techniques, juridiques ",Administration et organisation interne,"Aide à la rédaction et gestion documentaire, Aide juridique","Agent, Élu",accès interne uniquement,https://www.grandlyon.com/typo3conf/ext/gl_metropole_template/Resources/Public/Images/Content/logo-grand-lyon-la-metropole.svg,16/04/2025
